start,end,summary,description
2017-10-01 00:00:00,2017-10-01 23:59:59,Připravte se na zimu ,"Ptačí krmítko a jeho stavba, ukázky krmení, jaké plody sbírat a sušit pro ptáky na zimu."
2017-10-07 00:00:00,2017-10-07 23:59:59,Mezinárodní den zvířat ,"Oslavte s námi Mezinárodní den zvířat oblíbeným karnevalem. Pohybová, hudební a výtvarná dílna."
2017-10-07 00:00:00,2017-10-07 23:59:59,Rok Tamařina slůněte Rudiho,"Oslava rok života nejmladšího slona, které se v pražské zoo narodilo a bylo zde také počato."
2017-10-07 00:00:00,2017-10-07 23:59:59,Rok Tamařina slůněte Rudiho,
2017-10-21 17:00:00,2017-10-21 19:00:00,"Diwali, svátek světel ",Večerním lampionovým průvodem připomeneme hinduistický svátek.
2017-10-26 00:00:00,2017-10-26 23:59:59,Podzimní prázdniny v zoo,"Program pro děti v rámci podzimních prázdnin; speciální vystoupení na Bororu, komentovaná krmení, podzimní dílny"
2017-10-28 00:00:00,2017-10-28 23:59:59,Lvi ve státním znaku,"Oslava státnosti u zvířat, která máme ve státním znaku. Informační stánek – historie chovu lvů v lidské péči, ohrožený poddruh lev indický a jeho chov v Zoo Praha."
2017-11-04 00:00:00,2017-11-04 23:59:59,Vyrobte si krmítko ,"Dílny v zoo, vyrobte si ptačí krmítko."
2017-11-06 00:00:00,2017-11-06 23:59:59,Dny dětských sponzorů,"V zoo se setkají dětské kolektivy, které přispěly na zdejší chov zvířat."
2017-11-11 00:00:00,2017-11-11 23:59:59,Víkend pro nevidomé a slabozraké,Ukázka přírodnin a živých zvířat pro nevidomé (vidomí budou mít pásku přes oči).
2017-11-17 00:00:00,2017-11-17 23:59:59,Svátek studentů v Zoo Praha,Série setkání se zvířaty a přidaná cvičení zvířat v Amfiteátru Bororo.
2017-11-19 00:00:00,2017-11-19 23:59:59,Den chovatelů želv,"Cyklus přednášek a setkání s želvími chovanci, chovatelská poradna."
2017-11-26 00:00:00,2017-11-26 23:59:59,Adventní dílny,Užijte si klidnou předvánoční atmosféru v zoo a vyrobte si vlastní adventní věnec.
2017-11-27 00:00:00,2017-11-27 23:59:59,Školy zdobí zoo,Vybrané přihlášené školy zdobí zoo vlastními výrobky.
2017-12-03 00:00:00,2017-12-03 23:59:59,Adventní dílny,Užijte si klidnou předvánoční atmosféru v zoo a vyrobte si vlastní adventní věnec. Z kapacitních důvodů je nutné se předem objednat.
2017-12-03 16:00:00,2017-12-03 18:00:00,Vánoční strom se rozsvěcí,V 16 hodin zahájíme advent slavnostním rozsvícením stromu.
2017-12-05 00:00:00,2017-12-05 23:59:59,Po zoo chodí Mikuláš,"Byly vaše ratolesti hodné? Všechny prohřešky malých i velkých návštěvníků sečtou spravedliví čerti, hodné odmění Mikuláš s andělem."
2017-12-10 00:00:00,2017-12-10 23:59:59,Den sponzorů Zoo Praha a Den pro Troju,"Tradiční setkání přátel, sponzorů a partnerů pražské zoo a obyvatel m. č. Praha Troja, předání cen Richard a vyhlášení výsledků fotosoutěže."
2017-12-16 00:00:00,2017-12-16 23:59:59,Užijte si předvánoční klid v zoo,Odneste si ze zoo Betlémské světlo a vyrobte si vánoční přání.
2017-12-17 00:00:00,2017-12-17 23:59:59,Nuru slaví 5. narozeniny,Oslava půlkulatých narozenin gorilího samečka Nurua.
2017-12-24 00:00:00,2017-12-24 23:59:59,Štědrý den v zoo,"Přineste zvířatům dárky a podívejte se, co dostanou k Vánocům."
2017-12-28 00:00:00,2017-12-28 23:59:59,Vánoce u zvířat,
